State ID,State Display Name,State Name,State Code,Country ID,State GUID,State Last Modified
70,Alabama,Alabama,AL,271,2481D76C-B482-40C2-B0AB-7B2590967749,12/11/2012 0:23
69,Alaska,Alaska,AK,271,0B0280B0-B0A6-45DA-BFAE-A47A2672FD32,3/13/2008 19:35
72,Arizona,Arizona,AZ,271,4691C099-680C-4D93-B04A-066C32D37BC5,3/13/2008 19:35
71,Arkansas,Arkansas,AR,271,D9CF7CFF-CD4B-48AA-AD94-36C2F20F542B,3/13/2008 19:35
130,Auckland,Auckland,AK,423,3C1738A2-8229-4EEC-B3EE-D2C63785048B,11/5/2014 2:01
120,Australian Capital Territory,ACT,ACT,284,B121FB65-8365-4B5F-B898-DA9C985E8EF2,8/19/2014 5:26
133,Bay of Plenty,BayofPlenty,BOP,423,0CC7A3EA-FACF-4C00-8C41-64FB8C629685,11/5/2014 2:01
73,California,California,CA,271,811132F6-DCBB-4D78-B4EB-A3316F757426,3/13/2008 19:35
145,Canterbury,Canterbury,CB,423,29F7806C-8450-4566-8A35-12E853FA34EA,11/5/2014 2:01
74,Colorado,Colorado,CO,271,973C2380-573F-4761-8CA6-FB6B5C92898E,3/13/2008 19:35
75,Connecticut,Connecticut,CT,271,58E67ABD-F021-49DD-8FE3-BBDC20C23956,3/13/2008 19:35
132,Coromandel,Coromandel,CM,423,C65AACA9-F6D3-4589-8C38-F322CBFFB610,11/5/2014 2:01
77,Delaware,Delaware,DE,271,9FA859C8-A7C6-411F-8C3F-35806DD01058,3/13/2008 19:35
76,District of Columbia,DistrictOfColumbia,DC,271,79FBB068-E529-4410-9C9A-E8EF432526DC,3/13/2008 19:35
135,East Coast,EastCoast,EC,423,6A3066D9-32D6-488A-B8DC-E6BAC1D37E60,11/5/2014 2:01
78,Florida,Florida,FL,271,F895F557-D059-49C5-82BA-8D8CCFB62EF2,3/13/2008 19:35
79,Georgia,Georgia,GA,271,55C38E7C-7BE6-4C7E-B996-62FD907D9D80,3/13/2008 19:35
80,Hawaii,Hawaii,HI,271,5A5A9076-71CC-4C8F-87BF-6B5722E83849,3/13/2008 19:35
137,Hawkes Bay,HawkesBay,HB,423,7F179D40-8DA3-403F-A9D7-C2A2B53DD75B,11/5/2014 2:01
82,Idaho,Idaho,ID,271,095753E1-C8DF-4407-85B5-2D7B208E69CA,3/13/2008 19:35
83,Illinois,Illinois,IL,271,50DBA255-50C2-4DB0-A7DA-49DDC5054EDC,3/13/2008 19:35
84,Indiana,Indiana,IN,271,03B3B6BC-B393-42E4-BFB3-8357FA07353A,3/13/2008 19:35
81,Iowa,Iowa,IA,271,2CFD2DF1-97DC-4B28-B814-454ECC76AF78,3/13/2008 19:35
85,Kansas,Kansas,KS,271,CE60305A-AF0F-4D78-A30B-B59887EA0036,3/13/2008 19:35
86,Kentucky,Kentucky,KY,271,2CBC0BB0-9C09-4AD4-878B-5F6F081B9D90,3/13/2008 19:35
134,King Country,KingCountry,KC,423,09FF2B3C-3848-4BA1-AA10-2012179DA149,11/5/2014 2:01
87,Louisiana,Louisiana,LA,271,77A7C321-4105-4866-A19C-584C35893AE1,3/13/2008 19:35
90,Maine,Maine,ME,271,9BF38889-C545-44ED-A152-61CE08B08483,3/13/2008 19:35
140,Manawatu,Manawatu,MT,423,518D43EF-5A26-4AE2-B7FA-C4316762C2AA,11/5/2014 2:01
144,Marlborough,Marlborough,MB,423,EF012C7B-B60D-43E3-9079-98890C95D30F,11/5/2014 2:01
89,Maryland,Maryland,MD,271,869A67B8-3D8B-4749-A283-876F6C21431A,3/13/2008 19:35
88,Massachusetts,Massachusetts,MA,271,A53B8298-8D67-4678-81E4-4B9E5E18935A,3/13/2008 19:35
91,Michigan,Michigan,MI,271,25F32583-C638-40C6-BC05-EA42C03B63A9,3/13/2008 19:35
92,Minnesota,Minnesota,MN,271,1796AA5E-1D2E-43D3-BC6A-B70674FB269E,3/13/2008 19:35
94,Mississippi,Mississippi,MS,271,0083B960-7883-4468-8A7E-C4CC469D8D26,3/13/2008 19:35
93,Missouri,Missouri,MO,271,049A7258-469A-48DE-838C-4404D04D163E,3/13/2008 19:35
95,Montana,Montana,MT,271,D76700CA-9E62-4FE9-B732-9764A76CBAFC,3/13/2008 19:35
98,Nebraska,Nebraska,NE,271,D8CA6A06-4048-4242-AC15-CE3B17F1849A,3/13/2008 19:35
143,Nelson Bays,NelsonBays,NB,423,E1F3EA10-ABF8-4F6C-8B47-E2C901F7F9A4,11/5/2014 2:01
102,Nevada,Nevada,NV,271,EB5FE49D-BEBF-47B3-B1FF-DF0C5CCBB254,3/13/2008 19:35
99,New Hampshire,NewHampshire,NH,271,9FA31FF8-5A4F-4070-B584-06BA0F379774,3/13/2008 19:35
100,New Jersey,NewJersey,NJ,271,D3E833FE-5D92-4498-8F37-43F7167C014A,3/13/2008 19:35
101,New Mexico,NewMexico,NM,271,E442F05B-F11A-4C6B-AF5A-4F1EF852A255,3/13/2008 19:35
121,New South Wales,NSW,NSW,284,7741ACF7-C9EF-4734-B823-E95AD6DD4893,8/19/2014 5:24
103,New York,NewYork,NY,271,B749686A-226B-48E6-911A-D9D4CB99FDE5,3/13/2008 19:35
96,North Carolina,NorthCarolina,NC,271,272878EF-8F18-41C7-861F-C599CB90151E,3/13/2008 19:35
97,North Dakota,NorthDakota,ND,271,A1F947C8-4A88-4A61-A1AD-82ADE9C75B63,3/13/2008 19:35
148,North Otago,NorthOtago,NO,423,8F423EFB-4111-4013-85E8-8B9ACA24A0FE,11/5/2014 2:01
